feature,coefficient
route_ZYL_SIN,-1630.2506909707995
route_ZYL_DOH,-1615.6214830401436
route_SPD_CXB,-1615.2692733821677
route_RJH_LHR,-1512.0832620728943
route_DAC_BZL,-1491.480891137583
airline_Turkish Airlines,1448.5515138937353
route_JSR_DEL,-1423.4385592556264
route_ZYL_CXB,-1415.9110540514714
route_ZYL_DEL,1394.309223131641
route_DAC_JED,1367.2597668153528
route_BZL_DEL,-1365.6821769601493
route_CGP_BKK,-1326.9750130097923
route_DAC_DOH,-1325.2557571922073
airline_Thai Airways,1283.2806025558793
route_ZYL_JED,-1251.1156978694344
route_SPD_IST,1240.701905939919
airline_NovoAir,-1221.3588174390898
route_RJH_BZL,-1199.8387582337798
route_DAC_LHR,1168.3903842028037
route_DAC_CGP,-1165.222568814549
route_JSR_BKK,1157.4967404050399
source_JSR,-1140.6635436430106
route_JSR_DAC,-1130.6694711733803
route_DAC_JSR,-1130.239876990099
route_SPD_JFK,-1061.8299320570566
airline_Kuwait Airways,1022.374057968028
airline_SriLankan Airlines,1013.6659199391324
route_JSR_JFK,999.8677111027087
route_CGP_ZYL,-981.4586606287625
route_SPD_JSR,-928.8984235755763
route_ZYL_YYZ,915.6794021162673
airline_US-Bangla Airlines,-892.8112199513635
airline_Biman Bangladesh Airlines,885.5530339799188
season_spring,-861.1733442344234
season_autumn,852.9152988665974
route_BZL_SPD,-805.8913073952392
route_JSR_BZL,804.3116370465482
route_DAC_SIN,-801.7467658179312
route_SPD_DOH,794.1293406986945
route_CXB_KUL,753.3571901547466
route_BZL_SIN,-735.1472183431072
route_JSR_CXB,-716.9886508730989
stopovers_1 Stop,-692.725278117492
airline_Cathay Pacific,686.7596183259348
stopovers_Direct,682.9476310731679
airline_Gulf Air,-659.1290419121315
departure_month,-561.1546401182204
route_DAC_IST,-493.50255939184353
route_BZL_JSR,-474.7120064957319
departure_weekday,-461.14896559236513
route_CGP_YYZ,-451.447346939264
departure_hour,-437.1948812727351
airline_Vistara,-432.5998242264686
route_DAC_KUL,431.93547815231034
airline_Saudia,-371.37631746722764
source_RJH,349.3384973317443
is_weekend,348.72098820420615
airline_Air Arabia,-341.4158577170856
source_BZL,337.34208080728354
airline_British Airways,319.747099989243
source_SPD,310.81730533820064
route_BZL_IST,310.1296917347663
route_SPD_DEL,292.1097112882836
route_ZYL_DAC,-288.68595986927994
route_frequency,285.2453229813399
airline_Malaysian Airlines,-277.0668466805728
route_JSR_SPD,257.3623565108117
source_ZYL,254.7607033948575
route_DAC_BKK,-251.89133192118015
season_winter,247.44354285163718
booking_source_Direct Booking,247.21288315906327
season_summer,-239.18549748377245
route_JSR_CGP,236.33878250981616
route_RJH_JFK,235.0380016175547
route_SPD_JED,-230.32641415457442
route_RJH_ZYL,-215.08885049872663
route_RJH_JED,204.7603260191861
departure_day,182.36408850091175
airline_Air India,172.45417409469155
booking_source_Online Website,-171.08805498109814
source_CGP,-153.8682154456801
route_JSR_DOH,147.37290744475195
airline_Etihad Airways,-109.07853456471003
route_CXB_BZL,103.57269102932628
booking_source_Travel Agency,-76.12482817796149
source_CXB,71.39211082401948
is_peak_hour,56.6398151650792
route_CGP_JSR,49.72768184081042
source_DAC,-29.118938607435666
route_JSR_JED,13.765656598674013
stopovers_2 Stops,9.777647044344576
