feature,coefficient
route_SPD_ZYL,-2459.334930231096
route_RJH_JSR,-2449.6327150228353
route_JSR_IST,-2446.0569135409282
airline_IndiGo,2387.6138566291097
route_CXB_BKK,2288.5932926795804
route_JSR_SIN,2272.2953596617363
route_CGP_LHR,2270.438023482055
route_RJH_BKK,-2268.524273874912
route_CXB_SIN,2259.5977189747837
route_BZL_CGP,-2239.3540631095334
route_BZL_DOH,-2218.532578831955
route_ZYL_RJH,-2212.366301514958
route_BZL_LHR,2208.111005935165
route_CXB_JED,-2203.812049821016
route_DAC_SPD,-2157.880305019062
route_DAC_DXB,-2131.6715470677564
route_CXB_IST,2120.181627714761
route_JSR_RJH,2047.0910311976431
route_BZL_ZYL,-2017.9336247274498
airline_Lufthansa,-1978.2257238074446
route_BZL_RJH,-1977.3535711956372
route_CGP_SIN,1976.7808421698064
airline_FlyDubai,-1974.0902036250604
route_RJH_CXB,-1971.060512600777
seasonality_Winter Holidays,-1935.5752162308572
airline_AirAsia,1934.08725602461
route_CXB_SPD,-1923.1602602928397
route_SPD_LHR,-1901.835003351371
airline_Singapore Airlines,-1893.6408330080635
airline_Emirates,-1873.180005339422
route_RJH_DAC,-1871.6643297263367
route_RJH_CGP,-1850.1922486080089
route_RJH_DOH,1804.4447958703856
airline_Air Astra,-1762.0485032768195
route_RJH_DXB,1761.8466602141118
route_BZL_CXB,-1721.119202727562
route_DAC_JFK,-1684.176283935646
route_CXB_CGP,-1654.0715535804661
route_ZYL_SIN,-1617.6877286873244
route_ZYL_DOH,-1614.275047667526
route_SPD_CXB,-1608.8086723681822
route_RJH_LHR,-1501.7480953382487
route_DAC_BZL,-1481.6556567630728
airline_Turkish Airlines,1448.5561358659986
route_ZYL_CXB,-1423.4212725459397
route_JSR_DEL,-1407.1612301982518
route_ZYL_DEL,1397.8102361513606
route_DAC_JED,1376.6143708311806
route_BZL_DEL,-1358.3407164727382
route_DAC_DOH,-1326.7121377418102
route_CGP_BKK,-1292.2123402736227
airline_Thai Airways,1282.733406236361
route_SPD_IST,1262.7306066618492
route_ZYL_JED,-1232.9640664790152
airline_NovoAir,-1221.6307758356606
route_RJH_BZL,-1206.3513286687212
route_DAC_LHR,1161.2478911164842
route_DAC_CGP,-1159.4140927215615
route_JSR_BKK,1154.0385125573198
source_JSR,-1136.125570084009
route_JSR_DAC,-1124.095029068573
route_DAC_JSR,-1119.6023256830076
route_SPD_JFK,-1073.5248104342188
airline_Kuwait Airways,1021.5556514792323
airline_SriLankan Airlines,1012.7999580109195
route_CGP_ZYL,-976.9959810259013
route_JSR_JFK,960.1688254775213
route_SPD_JSR,-935.233870541125
airline_US-Bangla Airlines,-892.8954219026774
route_ZYL_YYZ,892.5484493023567
airline_Biman Bangladesh Airlines,885.199851504008
season_spring,-863.0151875380535
season_autumn,857.7242474079266
route_BZL_SPD,-820.0784358611528
route_JSR_BZL,807.725541102041
route_SPD_DOH,800.9201383221924
route_DAC_SIN,-797.9112767194497
route_CXB_KUL,782.369825493982
route_JSR_CXB,-728.6580112520542
route_BZL_SIN,-725.6369817133244
stopovers_1 Stop,-690.111090089041
airline_Cathay Pacific,687.1933640614213
stopovers_Direct,674.2053256115402
airline_Gulf Air,-658.5050825115156
departure_month,-564.5310687489115
route_CGP_YYZ,-484.9980609478742
route_DAC_IST,-482.75970471162543
route_BZL_JSR,-464.94620859717844
departure_weekday,-460.66402784342887
departure_hour,-437.03771592393804
airline_Vistara,-433.3081169112809
route_DAC_KUL,431.6104222516444
airline_Saudia,-370.7308397410402
source_RJH,352.1887369113571
is_weekend,348.37407783070864
airline_Air Arabia,-341.68502065484074
source_BZL,340.8173283173346
route_SPD_DEL,320.3744494555763
airline_British Airways,319.6049237977877
route_BZL_IST,316.20862592252536
source_SPD,310.25177931940846
route_frequency,284.5749920574638
route_ZYL_DAC,-283.40592839153055
airline_Malaysian Airlines,-277.28081406184674
source_ZYL,250.3023013379213
route_JSR_SPD,249.85790917900346
route_DAC_BKK,-248.36364158685447
booking_source_Direct Booking,246.98045177819628
season_winter,242.07093414976515
season_summer,-236.7799940418643
route_JSR_CGP,227.6804027653291
route_RJH_JED,227.50032262538178
route_RJH_ZYL,-225.47039917806723
route_RJH_JFK,209.65748479999044
route_SPD_JED,-202.15218990925806
departure_day,182.01792139505397
airline_Air India,172.07407903825103
booking_source_Online Website,-170.88767710604807
source_CGP,-157.37906496659983
route_JSR_DOH,146.62752533098904
airline_Etihad Airways,-108.97000635055369
route_CXB_BZL,106.70990666179249
booking_source_Travel Agency,-76.09277471939146
source_CXB,64.53407841223029
is_peak_hour,56.66310543384977
route_CGP_JSR,41.434281430033565
route_JSR_JED,32.681134236515256
source_DAC,-24.58958893546671
stopovers_2 Stops,15.905766445951329
